minimum_nights,calculated_host_listings_count,availability_365,room_type,price
0.0,0.0,0.8104395604395606,1.0,395
0.0,0.0,0.10714285714285715,0.5,60
0.14285714285714285,0.0,0.08241758241758242,1.0,120
0.0,0.0,0.8516483516483517,0.5,80
0.2857142857142857,0.0,0.03571428571428572,0.0,34
0.21428571428571427,0.0,0.09340659340659341,0.5,70
0.0,0.006134969325153375,0.09615384615384616,1.0,135
0.0,0.009202453987730062,0.2802197802197803,0.5,105
0.14285714285714285,0.0,0.271978021978022,1.0,135
0.0,0.003067484662576687,0.8021978021978022,0.5,55
0.07142857142857142,0.0,0.2197802197802198,1.0,115
0.0,0.0,0.870879120879121,0.5,99
0.5,0.0,0.1785714285714286,0.5,40
0.4285714285714286,0.0,0.2692307692307693,1.0,135
0.3571428571428571,0.0,0.09615384615384616,1.0,150
0.0,0.03374233128834356,0.9725274725274726,0.5,85
0.14285714285714285,0.0,0.5329670329670331,1.0,299
0.0,0.003067484662576687,0.11813186813186814,0.5,56
0.14285714285714285,0.003067484662576687,0.2417582417582418,0.5,53
0.14285714285714285,0.0,0.46153846153846156,1.0,149
0.07142857142857142,0.0,0.3626373626373627,1.0,225
0.07142857142857142,0.009202453987730062,0.8406593406593408,0.5,49
0.4285714285714286,0.1411042944785276,0.9010989010989012,0.5,80
0.07142857142857142,0.003067484662576687,0.7280219780219781,0.5,50
0.14285714285714285,0.003067484662576687,0.8021978021978022,1.0,72
0.21428571428571427,0.0,0.5274725274725275,1.0,90
0.07142857142857142,0.0,0.09340659340659341,1.0,300
0.0,0.006134969325153375,0.2417582417582418,1.0,250
0.0,0.012269938650306749,0.15384615384615385,0.5,142
1.0,0.006134969325153375,0.9120879120879122,0.5,59
0.07142857142857142,0.003067484662576687,0.7994505494505495,0.5,50
0.14285714285714285,0.0,0.260989010989011,1.0,111
0.07142857142857142,0.0,0.8763736263736265,0.5,61
0.07142857142857142,0.006134969325153375,0.38461538461538464,0.5,42
0.0,0.0,0.9697802197802199,1.0,1200
0.0,0.0,1.0,0.5,60
0.14285714285714285,0.0,0.3928571428571429,1.0,250
0.07142857142857142,0.0,0.04395604395604396,1.0,199
0.2857142857142857,0.0,0.03021978021978022,1.0,175
0.4285714285714286,0.0,0.5164835164835165,1.0,110
0.21428571428571427,0.0,0.04395604395604396,0.5,65
0.14285714285714285,0.0,0.15659340659340662,1.0,96
0.07142857142857142,0.003067484662576687,0.013736263736263736,1.0,84
0.07142857142857142,0.0,0.013736263736263736,0.5,69
0.14285714285714285,0.003067484662576687,0.315934065934066,1.0,120
0.0,0.0,0.3516483516483517,0.5,45
0.07142857142857142,0.006134969325153375,0.9532967032967034,0.0,37
0.07142857142857142,0.0,0.5961538461538463,1.0,139
0.0,0.0,0.0027472527472527475,0.5,55
0.4285714285714286,0.006134969325153375,0.739010989010989,1.0,180
0.0,0.012269938650306749,0.25824175824175827,0.5,138
0.21428571428571427,0.003067484662576687,0.2774725274725275,0.5,80
0.0,0.003067484662576687,0.060439560439560454,1.0,50
0.4285714285714286,0.0,0.20879120879120883,0.5,100
0.07142857142857142,0.0,0.13736263736263737,1.0,200
0.0,0.0,0.47252747252747257,1.0,100
0.21428571428571427,0.003067484662576687,0.2692307692307693,0.5,59
0.07142857142857142,0.0,0.2252747252747253,1.0,150
0.14285714285714285,0.003067484662576687,0.060439560439560454,1.0,160
0.4285714285714286,0.0,0.5824175824175825,0.5,69
0.21428571428571427,0.0,0.03571428571428572,1.0,350
0.9285714285714286,0.0,0.9972527472527473,0.5,149
0.14285714285714285,0.012269938650306749,0.42582417582417587,1.0,249
0.0,0.0,0.2005494505494506,0.5,89
0.14285714285714285,0.0,0.6538461538461539,1.0,212
0.07142857142857142,0.0,0.03846153846153847,0.5,70
0.0,0.006134969325153375,0.9835164835164836,0.5,95
0.0,0.08895705521472393,0.45329670329670335,0.5,199
0.07142857142857142,0.0,0.2774725274725275,0.5,50
0.0,0.0,0.21703296703296707,0.5,95
0.14285714285714285,0.003067484662576687,0.060439560439560454,1.0,63
0.0,0.009202453987730062,0.9807692307692308,0.5,89
0.07142857142857142,0.003067484662576687,0.07142857142857142,0.5,80
0.7857142857142857,0.0,0.08516483516483517,1.0,53
0.21428571428571427,0.0,0.24725274725274726,1.0,130
0.0,0.0,0.02197802197802198,1.0,135
0.2857142857142857,0.006134969325153375,0.008241758241758242,0.5,70
0.07142857142857142,0.006134969325153375,0.18406593406593408,0.5,65
0.14285714285714285,0.0,0.14285714285714288,1.0,180
1.0,0.0,0.9340659340659342,0.5,49
0.0,0.012269938650306749,1.0,0.5,65
0.0,0.0,0.9945054945054946,0.5,149
0.07142857142857142,0.0,0.7307692307692308,0.5,62
0.07142857142857142,0.012269938650306749,0.5824175824175825,0.5,58
0.21428571428571427,0.0,0.3296703296703297,1.0,250
0.14285714285714285,0.0,0.06593406593406594,0.5,135
0.2857142857142857,0.0,0.7197802197802199,1.0,175
0.14285714285714285,0.0,0.11263736263736264,1.0,110
0.14285714285714285,0.0,0.24450549450549453,1.0,211
0.14285714285714285,0.0,0.008241758241758242,1.0,115
